dish_name,count
Rántott sajt kukoricás rizs,12
Fahéjas almaleves,12
Magyaros zöldségleves,12
"Borsmártásos karaj, burgonya",12
"Rántott halrúd, rizibizi",12
Tojásos tészta,12
"Rántott sajt, sültburgonya, tartár",12
"Fokhagymás tokány, tészta",12
Babgulyás - Raguleves,12
Pontyhalászlé Túrós csusza,12
"Székelykáposzta, palacsinta",12
"Birkapörkölt, főttburgonya",12
"Bácskai rizseshús, saláta",12
"Chilis bab, rizs",12
"Körömpörkölt, sósburgonya",12
Pulled Pork tál,12
"Mustáros sertésapró, tészta",12
Töltött csirkecomb petrezselymes burgonya,12
"Meggyfőzelék, párizsi csirkemell",12
"Szemes babfőzelék, sertéspörkölt",12
"Lecsós sertés szelet, rizs",12
Húsos tészta,12
Korhely leves,12
Hortobágyi húsos palacsinta,12
Sajtos tejfölös tészta,12
Korhelyleves - Gyümölcsleves,12
Káposztás kocka,12
Frankfurti leves - Gyümölcsleves,12
"Paradicsomos káposzta, sült hús",12
"Sertéskaraj ""Otthon"" módra rizzsel",12
"Pankó morzsás rántott szelet, kukoricás rizs",12
Rizskók lekvárral,12
"Cordon bleu, sültburgonya",12
"Rablóhús, sültburgonya",11
"Rántott karfiol és brokkoli, rizibizi, tartár",11
Csirkepaprikás galuskával,11
Carbonara penne,11
Pontypaprikás kapros túrós csuszával,11
"Kemencés libacomb vagy kacsacomb krokettel, fahéjas sült almával",11
Lencse krémleves,11
Borsostokány tésztával,11
Harcsapaprikás galuskával,11
Tejbegríz,11
"Magyaros libamáj lecsóval, steak burgonyával",11
Hamis gulyás,11
"Sajttal - sonkával töltött szelet, rizibizivel",11
"Csongrádi tekercs, rizibizi",11
"Paprikás burgonya, füstölt kolbásszal",11
"Kofapecsenye, tarhonya",11
"Holstein szelet, rizibizi",11
"Krumplifőzelék, fasírozott",11
"Sonkával töltött rántott sajt, püré",11
Hamis gulyás leves,11
Csontleves tésztával,11
"Tökfőzelék, fasírozott",11
Tejfölös karfiolleves,11
Bakonyi szelet galuskával,11
Újházi tyúkhúsleves,11
Marhapörkölt tésztával,11
Kellemes Karácsonyi Ünnepeket kívánunk minden kedves vendégünknek,10
"Rántott szelet, petrezselymes burgonya",10
Zeller krémleves,10
"Ananászos csirkemell, párolt rizs",10
SZILVESZTERI CLASSIC PARTY dec. 31. további infókért KATT IDE,10
"Almafőzelék, párizsi csirke",10
Falusi csirkeleves daragaluskával,10
Kelkáposzta főzelék pörkölttel,10
"Magyaros sertésmáj, törtburgonya, savanyúság",10
"Kalocsai harcsafilé, rizs",10
